action_id,constituent_id,action_number,category,action_date,summary,fundraiser_id,days_since
1,1,1,Site Visit,2026-01-06,Athletic facility tour,1,136
2,1,2,Proposal Submitted,2025-06-27,Delivered naming opportunity packet,1,329
3,1,3,Event Attendance,2024-12-03,Advisory board meeting,1,535
4,1,4,Site Visit,2024-05-31,Arts center opening,1,721
5,1,5,Meeting,2023-07-20,Coffee meeting downtown,1,1037
6,1,6,Proposal Submitted,2022-06-21,Submitted pledge renewal proposal,1,1431
7,2,1,Proposal Submitted,2026-05-15,Delivered $100K endowment proposal,1,7
8,2,2,Email,2025-08-16,Annual fund solicitation,1,279
9,2,3,Meeting,2025-04-07,Lunch at faculty club,1,410
10,2,4,Phone Call,2024-02-21,Left voicemail,1,821
11,2,5,Event Attendance,2023-11-25,President's dinner,1,909
12,2,6,Event Attendance,2022-11-08,Commencement ceremony,1,1291
13,2,7,Email,2022-10-17,Forwarded dean's letter,1,1313
14,3,1,Phone Call,2025-08-21,Brief check-in,1,274
15,3,2,Email,2024-12-04,Proposal follow-up email,1,534
16,4,1,Site Visit,2025-11-30,Met scholarship recipient,1,173
17,5,1,Meeting,2026-04-09,Follow-up meeting re: proposal,1,43
18,5,2,Proposal Submitted,2025-02-16,Presented $50K annual fund proposal,1,460
19,5,3,Proposal Submitted,2024-04-09,Presented $500K naming proposal,1,773
20,5,4,Meeting,2024-03-07,Initial in-person meeting,1,806
21,5,5,Phone Call,2023-03-10,Call re: event invitation,1,1169
22,6,1,Meeting,2026-04-23,Met at alumni event,1,29
23,6,2,Proposal Submitted,2026-02-09,Presented $500K naming proposal,1,102
24,6,3,Phone Call,2025-11-20,Call re: event invitation,1,183
25,6,4,Email,2025-09-23,Forwarded dean's letter,1,241
26,6,5,Site Visit,2025-07-20,Lab walkthrough with faculty,1,306
27,6,6,Site Visit,2025-06-10,Visited endowed professorship,1,346
28,6,7,Phone Call,2025-06-07,Brief check-in,1,349
29,6,8,Phone Call,2024-12-05,Call re: event invitation,1,533
30,6,9,Proposal Submitted,2024-04-28,Submitted pledge renewal proposal,1,754
31,6,10,Phone Call,2024-02-20,Confirmed meeting time,1,822
32,6,11,Phone Call,2023-12-25,Confirmed meeting time,1,879
33,6,12,Phone Call,2023-12-12,Check-in call,1,892
34,6,13,Email,2023-11-04,Proposal follow-up email,1,930
35,6,14,Phone Call,2023-08-13,Brief check-in,1,1013
36,6,15,Site Visit,2023-06-10,Lab walkthrough with faculty,1,1077
37,6,16,Email,2023-03-17,Annual fund solicitation,1,1162
38,6,17,Proposal Submitted,2023-01-08,Submitted pledge renewal proposal,1,1230
39,6,18,Site Visit,2022-12-03,Toured new building,1,1266
40,6,19,Meeting,2022-08-11,Initial in-person meeting,1,1380
41,7,1,Meeting,2025-03-13,Lunch at faculty club,1,435
42,7,2,Event Attendance,2024-12-13,Attended gala,1,525
43,7,3,Meeting,2024-07-28,Stewardship dinner,1,663
44,7,4,Phone Call,2024-03-27,Touched base on family news,1,786
45,7,5,Email,2024-02-27,Annual fund solicitation,1,815
46,7,6,Proposal Submitted,2024-01-06,Delivered naming opportunity packet,1,867
47,7,7,Event Attendance,2023-01-14,Attended gala,1,1224
48,7,8,Meeting,2022-07-15,Discovery meeting,1,1407
49,7,9,Event Attendance,2022-07-02,Commencement ceremony,1,1420
50,7,10,Email,2022-06-01,Updated on campaign progress,1,1451
51,8,1,Phone Call,2026-02-26,Call re: event invitation,1,85
52,8,2,Meeting,2025-11-19,Stewardship dinner,1,184
53,8,3,Meeting,2025-08-24,Office visit,1,271
54,8,4,Site Visit,2025-08-24,Visited endowed professorship,1,271
55,8,5,Email,2025-06-08,Sent thank-you note,1,348
56,8,6,Site Visit,2025-05-19,Met scholarship recipient,1,368
57,8,7,Email,2024-12-04,Annual fund solicitation,1,534
58,8,8,Email,2024-08-10,Sent birthday greeting,1,650
59,8,9,Email,2024-06-26,Updated on campaign progress,1,695
60,8,10,Phone Call,2024-04-22,Introduced new initiative,1,760
61,8,11,Proposal Submitted,2023-12-17,Submitted $1M capital campaign proposal,1,887
62,8,12,Phone Call,2023-10-06,Called to share impact story,1,959
63,8,13,Proposal Submitted,2023-08-16,Submitted pledge renewal proposal,1,1010
64,8,14,Site Visit,2023-07-25,Toured new building,1,1032
65,8,15,Phone Call,2023-05-31,Discussed pledge payment,1,1087
66,8,16,Meeting,2023-04-02,Met at alumni event,1,1146
67,8,17,Phone Call,2023-02-18,Check-in call,1,1189
68,8,18,Site Visit,2022-05-28,Met scholarship recipient,1,1455
69,9,1,Meeting,2025-09-26,Initial in-person meeting,1,238
70,9,2,Email,2023-12-10,Sent birthday greeting,1,894
71,9,3,Site Visit,2023-10-08,Campus tour with family,1,957
72,9,4,Site Visit,2023-08-12,Toured new building,1,1014
73,9,5,Proposal Submitted,2022-06-06,Delivered naming opportunity packet,1,1446
74,10,1,Phone Call,2025-11-11,Discussed pledge payment,1,192
75,10,2,Proposal Submitted,2025-09-10,Presented $50K annual fund proposal,1,254
76,10,3,Email,2025-03-30,Annual fund solicitation,1,418
77,10,4,Proposal Submitted,2024-10-17,Presented $50K annual fund proposal,1,582
78,10,5,Phone Call,2024-06-05,Brief check-in,1,716
