gift_id,constituent_id,gift_number,amount,gift_date,gift_type,gift_subtype,gift_balance,designation
1,1,1,45000.0,2016-04-15,Donation,Wire Transfer,0.0,Library Fund
2,3,1,45000.0,2020-02-13,Donation,,0.0,Capital Campaign
3,3,2,30000.0,2016-01-30,Donation,,0.0,Scholarship Endowment
4,4,1,140000.0,2015-08-10,Donation,Check,0.0,Research Initiative
5,4,2,260000.0,2013-11-30,Donation,Check,0.0,Arts & Humanities
6,5,1,15000.0,2012-07-22,Pledge,Multi-year Pledge,0.0,Arts & Humanities
7,7,1,150000.0,2025-01-20,Pledge,,126000.0,Dean's Discretionary Fund
8,7,2,620000.0,2024-11-15,Donation,,0.0,Arts & Humanities
9,7,3,310000.0,2023-05-08,Donation,,0.0,Library Fund
10,7,4,100000.0,2015-03-03,Donation,GiveCampus,0.0,Unrestricted Endowment
11,9,1,180000.0,2024-04-20,Pledge,,125000.0,Unrestricted Endowment
12,9,2,15000.0,2023-09-21,Donation,Check,0.0,Dean's Discretionary Fund
13,9,3,20000.0,2022-09-27,Donation,,0.0,Faculty Excellence Fund
14,9,4,190000.0,2021-08-29,Pledge,,0.0,Student Life
15,9,5,80000.0,2016-03-31,Donation,Check,0.0,Unrestricted Endowment
16,10,1,50000.0,2025-10-12,Donation,,0.0,Faculty Excellence Fund
17,10,2,100000.0,2019-10-24,Donation,,0.0,Dean's Discretionary Fund
18,10,3,180000.0,2016-12-31,Donation,Wire Transfer,0.0,Capital Campaign
19,10,4,40000.0,2015-04-08,Donation,,0.0,Unrestricted Endowment
20,10,5,60000.0,2013-12-21,Pledge,Campaign Pledge,0.0,Arts & Humanities
21,12,1,30000.0,2021-12-01,Pledge,Campaign Pledge,0.0,Athletics Fund
22,12,2,35000.0,2020-07-23,Donation,Check,0.0,Unrestricted Endowment
23,12,3,35000.0,2018-12-21,Donation,,0.0,Scholarship Endowment
24,12,4,60000.0,2018-10-21,Donation,Check,0.0,Faculty Excellence Fund
25,12,5,45000.0,2012-09-05,Donation,Check,0.0,Athletics Fund
26,18,1,210000.0,2025-10-09,Donation,,0.0,Arts & Humanities
27,18,2,760000.0,2021-06-11,Donation,GiveCampus,0.0,Dean's Discretionary Fund
28,18,3,790000.0,2020-08-24,Donation,Wire Transfer,0.0,Capital Campaign
29,18,4,410000.0,2014-11-05,Pledge,Campaign Pledge,0.0,Athletics Fund
30,18,5,550000.0,2013-08-05,Pledge,,0.0,Scholarship Endowment
31,24,1,120000.0,2019-07-03,Donation,,0.0,Scholarship Endowment
32,24,2,50000.0,2016-04-29,Donation,,0.0,Research Initiative
33,26,1,60000.0,2016-12-10,Donation,,0.0,Athletics Fund
34,26,2,35000.0,2011-08-25,Donation,,0.0,Scholarship Endowment
35,27,1,260000.0,2022-05-23,Donation,,0.0,Library Fund
36,27,2,1200000.0,2015-08-15,Pledge,Campaign Pledge,0.0,Athletics Fund
37,30,1,140000.0,2021-06-22,Donation,,0.0,Annual Fund
38,31,1,40000.0,2026-01-04,Donation,,0.0,Athletics Fund
39,31,2,290000.0,2022-05-20,Pledge,,0.0,Athletics Fund
40,31,3,130000.0,2017-01-21,Donation,,0.0,Faculty Excellence Fund
41,35,1,1510000.0,2021-02-11,Pledge,Multi-year Pledge,0.0,Arts & Humanities
42,35,2,800000.0,2016-07-17,Donation,GiveCampus,0.0,Student Life
43,35,3,1350000.0,2015-05-08,Donation,,0.0,Dean's Discretionary Fund
44,35,4,380000.0,2013-10-09,Donation,Check,0.0,Unrestricted Endowment
45,36,1,200000.0,2017-04-18,Donation,,0.0,Capital Campaign
46,36,2,150000.0,2013-04-17,Pledge,Multi-year Pledge,0.0,Unrestricted Endowment
47,38,1,70000.0,2024-05-14,Pledge,Multi-year Pledge,46000.0,Library Fund
48,38,2,170000.0,2020-08-17,Pledge,,0.0,Annual Fund
49,38,3,180000.0,2012-10-20,Donation,Check,0.0,Capital Campaign
50,39,1,110000.0,2024-06-22,Donation,Wire Transfer,0.0,Annual Fund
51,39,2,110000.0,2023-10-19,Donation,,0.0,Dean's Discretionary Fund
52,39,3,140000.0,2023-03-07,Donation,,0.0,Library Fund
53,39,4,150000.0,2022-09-24,Donation,,0.0,Student Life
54,39,5,110000.0,2021-09-09,Pledge,Multi-year Pledge,0.0,Faculty Excellence Fund
55,39,6,150000.0,2017-06-02,Donation,Check,0.0,Scholarship Endowment
56,39,7,130000.0,2016-11-28,Donation,,0.0,Dean's Discretionary Fund
57,39,8,45000.0,2015-01-23,Pledge,,0.0,Student Life
58,39,9,100000.0,2013-06-10,Pledge,,0.0,Dean's Discretionary Fund
59,39,10,60000.0,2012-02-12,Pledge,Multi-year Pledge,0.0,Athletics Fund
60,43,1,45000.0,2025-08-11,Donation,Check,0.0,Scholarship Endowment
61,43,2,100000.0,2019-09-03,Donation,,0.0,Research Initiative
62,45,1,340000.0,2012-11-26,Donation,,0.0,Athletics Fund
