proposal_id,constituent_id,fundraiser_id,proposal_date,ask_amount,funded_amount,status,designation,expected_close_date
1,3,1,2025-02-18,45000.0,0.0,Declined,Arts & Humanities,
2,9,1,2024-05-09,95000.0,0.0,Declined,Student Life,
3,9,1,2025-11-07,175000.0,0.0,Pending,Arts & Humanities,2026-11-05
4,10,1,2024-05-06,125000.0,0.0,Withdrawn,Athletics Fund,
5,10,1,2025-11-06,100000.0,0.0,Pending,Unrestricted Endowment,2027-02-15
6,11,1,2025-09-15,400000.0,0.0,Declined,Scholarship Endowment,
7,12,1,2025-04-12,70000.0,70000.0,Funded,Library Fund,
8,18,1,2025-09-01,600000.0,500000.0,Funded,Research Initiative,
9,18,1,2024-10-12,650000.0,600000.0,Funded,Unrestricted Endowment,
10,18,1,2021-12-24,550000.0,425000.0,Funded,Capital Campaign,
11,19,1,2023-02-19,175000.0,0.0,Withdrawn,Unrestricted Endowment,
12,22,1,2024-10-13,25000.0,0.0,Declined,Unrestricted Endowment,
13,23,1,2026-03-02,175000.0,0.0,Pending,Global Initiatives,2027-01-05
14,24,1,2024-09-17,175000.0,150000.0,Funded,Unrestricted Endowment,
15,25,1,2025-01-12,35000.0,0.0,Declined,Arts & Humanities,
16,27,1,2024-08-24,1750000.0,1600000.0,Funded,Faculty Excellence Fund,
17,27,1,2024-11-08,1000000.0,950000.0,Funded,Annual Fund,
18,27,1,2020-12-24,550000.0,550000.0,Funded,Unrestricted Endowment,
19,36,1,2026-01-04,100000.0,0.0,Pending,Capital Campaign,2026-11-10
20,39,1,2024-09-04,200000.0,175000.0,Funded,Annual Fund,
21,39,1,2024-12-18,175000.0,175000.0,Funded,Arts & Humanities,
22,39,1,2023-06-24,150000.0,125000.0,Funded,Faculty Excellence Fund,
23,42,1,2023-10-08,150000.0,0.0,Withdrawn,Faculty Excellence Fund,
24,43,1,2025-04-26,150000.0,125000.0,Funded,Student Life,
25,43,1,2024-09-16,125000.0,125000.0,Funded,Dean's Discretionary Fund,
26,43,1,2022-08-27,100000.0,90000.0,Funded,Research Initiative,
27,45,1,2025-07-26,500000.0,0.0,Pending,Capital Campaign,2027-04-23
28,46,1,2024-11-07,35000.0,0.0,Declined,Library Fund,
29,46,1,2026-02-28,40000.0,0.0,Pending,Library Fund,2026-08-30
30,47,1,2024-12-19,40000.0,0.0,Declined,Dean's Discretionary Fund,
31,47,1,2025-11-20,125000.0,0.0,Pending,Research Initiative,2026-10-28
32,49,1,2025-01-03,125000.0,0.0,Declined,Global Initiatives,
33,49,1,2025-09-04,75000.0,0.0,Pending,Faculty Excellence Fund,2026-10-20
34,53,1,2025-04-02,35000.0,0.0,Withdrawn,Annual Fund,
35,56,1,2026-03-23,175000.0,0.0,Pending,Faculty Excellence Fund,2026-09-17
36,59,1,2023-12-13,125000.0,0.0,Declined,Capital Campaign,
37,61,1,2025-03-29,13000.0,0.0,Declined,Capital Campaign,
38,63,1,2023-08-18,250000.0,0.0,Withdrawn,Research Initiative,
39,66,1,2025-06-26,125000.0,0.0,Withdrawn,Dean's Discretionary Fund,
40,71,1,2023-01-27,70000.0,55000.0,Funded,Athletics Fund,
41,71,1,2023-12-29,80000.0,75000.0,Funded,Athletics Fund,
42,73,1,2024-10-28,375000.0,375000.0,Funded,Athletics Fund,
43,75,1,2025-08-31,35000.0,30000.0,Funded,Annual Fund,
44,75,1,2024-08-05,65000.0,55000.0,Funded,Student Life,
45,75,1,2025-01-18,55000.0,45000.0,Funded,Research Initiative,
46,76,1,2022-05-08,200000.0,200000.0,Funded,Annual Fund,
47,76,1,2022-01-12,100000.0,95000.0,Funded,Annual Fund,
48,76,1,2021-12-05,225000.0,200000.0,Funded,Capital Campaign,
49,77,1,2023-04-12,85000.0,0.0,Withdrawn,Dean's Discretionary Fund,
50,80,1,2021-01-29,200000.0,175000.0,Funded,Research Initiative,
51,84,1,2025-08-17,45000.0,35000.0,Funded,Unrestricted Endowment,
52,84,1,2024-01-24,45000.0,35000.0,Funded,Scholarship Endowment,
53,85,1,2025-10-24,65000.0,0.0,Pending,Faculty Excellence Fund,2026-11-12
54,86,2,2024-04-25,125000.0,0.0,Declined,Research Initiative,
