rating_id,constituent_id,category,source,value,value_type,date
1,1,Real Estate,DonorSearch,"$1,050,000",Currency,2025-08-15
2,1,Likelihood to Give,DonorSearch,74%,Percent,2026-01-08
3,2,Estimated Capacity,DonorSearch,"$130,000",Currency,2025-09-11
4,2,Real Estate,DonorSearch,"$300,000",Currency,2024-08-14
5,2,Likelihood to Give,DonorSearch,74%,Percent,2025-10-01
6,3,Likelihood to Give,WealthEngine,34%,Percent,2026-04-16
7,3,Real Estate,WealthEngine,"$2,850,000",Currency,2025-11-10
8,4,Estimated Capacity,Blackbaud Target Analytics,"$240,000",Currency,2026-01-08
9,4,Real Estate,Blackbaud Target Analytics,"$1,550,000",Currency,2026-01-13
10,4,Likelihood to Give,Blackbaud Target Analytics,29%,Percent,2025-05-05
11,5,Real Estate,Blackbaud Target Analytics,"$650,000",Currency,2024-10-20
12,5,Likelihood to Give,Blackbaud Target Analytics,67%,Percent,2025-03-31
13,6,Real Estate,Blackbaud Target Analytics,"$2,700,000",Currency,2026-03-07
14,6,Estimated Capacity,Blackbaud Target Analytics,"$300,000",Currency,2025-06-30
15,6,Likelihood to Give,Blackbaud Target Analytics,61%,Percent,2025-08-27
16,7,Likelihood to Give,WealthEngine,77%,Percent,2025-04-08
17,7,Real Estate,WealthEngine,"$2,750,000",Currency,2025-09-20
18,7,Estimated Capacity,WealthEngine,"$920,000",Currency,2024-05-23
19,8,Estimated Capacity,iWave,"$310,000",Currency,2025-03-30
20,8,Likelihood to Give,iWave,90%,Percent,2024-07-06
21,9,Estimated Capacity,iWave,"$170,000",Currency,2025-06-03
22,9,Real Estate,iWave,"$1,000,000",Currency,2026-02-14
23,9,Likelihood to Give,iWave,93%,Percent,2024-09-19
24,10,Real Estate,Blackbaud Target Analytics,"$3,550,000",Currency,2025-03-13
25,10,Likelihood to Give,Blackbaud Target Analytics,79%,Percent,2024-07-03
26,11,Estimated Capacity,iWave,"$70,000",Currency,2024-09-01
27,11,Real Estate,iWave,"$1,700,000",Currency,2024-09-02
28,11,Likelihood to Give,iWave,28%,Percent,2025-09-10
29,12,Estimated Capacity,WealthEngine,"$450,000",Currency,2025-11-17
30,12,Real Estate,WealthEngine,"$1,800,000",Currency,2024-05-26
31,13,Likelihood to Give,DonorSearch,92%,Percent,2024-10-03
32,13,Real Estate,DonorSearch,"$2,800,000",Currency,2026-04-11
33,13,Estimated Capacity,DonorSearch,"$90,000",Currency,2025-12-26
34,14,Estimated Capacity,Blackbaud Target Analytics,"$2,710,000",Currency,2025-11-12
35,14,Likelihood to Give,Blackbaud Target Analytics,81%,Percent,2025-07-27
36,14,Real Estate,Blackbaud Target Analytics,"$2,150,000",Currency,2025-10-22
37,15,Real Estate,DonorSearch,"$3,100,000",Currency,2025-04-05
38,15,Estimated Capacity,DonorSearch,"$290,000",Currency,2024-10-17
39,15,Likelihood to Give,DonorSearch,40%,Percent,2024-10-26
40,16,Estimated Capacity,Blackbaud Target Analytics,"$130,000",Currency,2025-06-12
41,16,Real Estate,Blackbaud Target Analytics,"$3,550,000",Currency,2025-08-19
42,16,Likelihood to Give,Blackbaud Target Analytics,45%,Percent,2026-02-01
43,17,Real Estate,WealthEngine,"$2,700,000",Currency,2025-12-12
44,17,Estimated Capacity,WealthEngine,"$120,000",Currency,2024-10-07
45,18,Real Estate,WealthEngine,"$1,700,000",Currency,2025-06-07
46,18,Estimated Capacity,WealthEngine,"$220,000",Currency,2024-06-04
47,19,Estimated Capacity,WealthEngine,"$70,000",Currency,2026-02-16
48,19,Real Estate,WealthEngine,"$2,300,000",Currency,2024-08-28
49,19,Likelihood to Give,WealthEngine,54%,Percent,2024-08-28
50,20,Real Estate,DonorSearch,"$450,000",Currency,2025-08-31
51,20,Estimated Capacity,DonorSearch,"$110,000",Currency,2026-03-21
52,21,Likelihood to Give,DonorSearch,89%,Percent,2025-09-15
53,21,Real Estate,DonorSearch,"$2,950,000",Currency,2025-12-08
54,22,Likelihood to Give,WealthEngine,26%,Percent,2025-10-10
55,22,Real Estate,WealthEngine,"$2,700,000",Currency,2026-01-13
56,23,Likelihood to Give,Blackbaud Target Analytics,46%,Percent,2024-06-02
57,23,Real Estate,Blackbaud Target Analytics,"$1,750,000",Currency,2026-02-19
58,23,Estimated Capacity,Blackbaud Target Analytics,"$4,160,000",Currency,2025-05-10
59,24,Estimated Capacity,DonorSearch,"$380,000",Currency,2024-10-20
60,24,Real Estate,DonorSearch,"$900,000",Currency,2025-02-14
61,25,Estimated Capacity,WealthEngine,"$100,000",Currency,2024-10-06
62,25,Likelihood to Give,WealthEngine,74%,Percent,2024-06-24
63,26,Estimated Capacity,DonorSearch,"$390,000",Currency,2025-03-02
64,26,Real Estate,DonorSearch,"$3,500,000",Currency,2025-09-16
65,27,Likelihood to Give,DonorSearch,56%,Percent,2025-03-19
66,27,Estimated Capacity,DonorSearch,"$310,000",Currency,2025-01-12
67,28,Estimated Capacity,WealthEngine,"$1,170,000",Currency,2025-09-12
68,28,Likelihood to Give,WealthEngine,54%,Percent,2024-09-06
69,29,Estimated Capacity,DonorSearch,"$570,000",Currency,2024-11-24
70,29,Real Estate,DonorSearch,"$800,000",Currency,2024-10-26
71,29,Likelihood to Give,DonorSearch,25%,Percent,2024-11-18
72,30,Real Estate,iWave,"$3,450,000",Currency,2024-05-31
73,30,Estimated Capacity,iWave,"$50,000",Currency,2025-03-05
74,31,Real Estate,iWave,"$2,700,000",Currency,2025-02-17
75,31,Estimated Capacity,iWave,"$820,000",Currency,2024-09-21
76,32,Real Estate,Blackbaud Target Analytics,"$1,200,000",Currency,2025-08-21
77,32,Likelihood to Give,Blackbaud Target Analytics,39%,Percent,2025-12-09
78,33,Estimated Capacity,WealthEngine,"$120,000",Currency,2024-07-25
79,33,Real Estate,WealthEngine,"$500,000",Currency,2026-01-10
80,33,Likelihood to Give,WealthEngine,26%,Percent,2025-09-16
81,34,Likelihood to Give,Blackbaud Target Analytics,63%,Percent,2025-08-15
82,34,Estimated Capacity,Blackbaud Target Analytics,"$530,000",Currency,2025-07-05
83,35,Real Estate,Blackbaud Target Analytics,"$600,000",Currency,2024-06-12
84,35,Likelihood to Give,Blackbaud Target Analytics,56%,Percent,2025-12-06
85,36,Real Estate,DonorSearch,"$1,250,000",Currency,2025-07-18
86,36,Estimated Capacity,DonorSearch,"$490,000",Currency,2025-09-19
87,37,Real Estate,iWave,"$550,000",Currency,2026-03-01
88,37,Likelihood to Give,iWave,72%,Percent,2025-02-13
89,37,Estimated Capacity,iWave,"$80,000",Currency,2026-03-08
90,38,Estimated Capacity,iWave,"$840,000",Currency,2024-09-25
91,38,Likelihood to Give,iWave,49%,Percent,2026-02-04
92,38,Real Estate,iWave,"$350,000",Currency,2024-10-11
93,39,Likelihood to Give,Blackbaud Target Analytics,39%,Percent,2026-03-11
94,39,Estimated Capacity,Blackbaud Target Analytics,"$280,000",Currency,2025-04-14
95,40,Estimated Capacity,DonorSearch,"$1,020,000",Currency,2025-04-25
96,40,Real Estate,DonorSearch,"$3,900,000",Currency,2025-03-02
97,40,Likelihood to Give,DonorSearch,35%,Percent,2025-11-15
98,41,Likelihood to Give,iWave,61%,Percent,2025-10-21
99,41,Estimated Capacity,iWave,"$520,000",Currency,2025-02-25
100,42,Estimated Capacity,iWave,"$540,000",Currency,2026-03-14
101,42,Real Estate,iWave,"$950,000",Currency,2025-09-07
102,42,Likelihood to Give,iWave,21%,Percent,2025-01-06
103,43,Estimated Capacity,Blackbaud Target Analytics,"$120,000",Currency,2024-06-16
104,43,Real Estate,Blackbaud Target Analytics,"$1,250,000",Currency,2025-05-21
105,44,Likelihood to Give,DonorSearch,62%,Percent,2026-03-25
106,44,Real Estate,DonorSearch,"$900,000",Currency,2025-07-29
107,44,Estimated Capacity,DonorSearch,"$90,000",Currency,2025-07-25
108,45,Real Estate,WealthEngine,"$3,950,000",Currency,2024-08-10
109,45,Likelihood to Give,WealthEngine,79%,Percent,2025-12-25
110,45,Estimated Capacity,WealthEngine,"$120,000",Currency,2024-09-09
111,46,Estimated Capacity,DonorSearch,"$460,000",Currency,2025-02-05
112,46,Real Estate,DonorSearch,"$3,700,000",Currency,2024-06-11
113,46,Likelihood to Give,DonorSearch,60%,Percent,2024-07-23
114,47,Real Estate,DonorSearch,"$1,750,000",Currency,2025-05-23
115,47,Likelihood to Give,DonorSearch,27%,Percent,2025-06-24
116,47,Estimated Capacity,DonorSearch,"$120,000",Currency,2025-12-13
117,48,Real Estate,WealthEngine,"$2,300,000",Currency,2025-03-03
118,48,Likelihood to Give,WealthEngine,59%,Percent,2026-04-22
119,49,Likelihood to Give,Blackbaud Target Analytics,68%,Percent,2025-01-01
120,49,Real Estate,Blackbaud Target Analytics,"$2,750,000",Currency,2025-01-25
121,50,Real Estate,WealthEngine,"$2,150,000",Currency,2025-07-06
122,50,Estimated Capacity,WealthEngine,"$450,000",Currency,2024-07-13
123,51,Real Estate,DonorSearch,"$3,250,000",Currency,2025-09-04
124,51,Likelihood to Give,DonorSearch,65%,Percent,2025-11-23
125,52,Likelihood to Give,DonorSearch,66%,Percent,2025-01-11
126,52,Estimated Capacity,DonorSearch,"$90,000",Currency,2024-07-17
127,53,Likelihood to Give,WealthEngine,40%,Percent,2024-06-20
128,53,Estimated Capacity,WealthEngine,"$1,020,000",Currency,2026-01-03
129,53,Real Estate,WealthEngine,"$850,000",Currency,2025-09-10
130,54,Real Estate,WealthEngine,"$1,950,000",Currency,2025-12-19
131,54,Estimated Capacity,WealthEngine,"$90,000",Currency,2025-01-02
132,55,Real Estate,Blackbaud Target Analytics,"$3,050,000",Currency,2025-11-11
133,55,Likelihood to Give,Blackbaud Target Analytics,68%,Percent,2024-12-22
134,55,Estimated Capacity,Blackbaud Target Analytics,"$250,000",Currency,2025-07-31
135,56,Real Estate,Blackbaud Target Analytics,"$500,000",Currency,2025-01-27
136,56,Estimated Capacity,Blackbaud Target Analytics,"$60,000",Currency,2025-07-04
137,56,Likelihood to Give,Blackbaud Target Analytics,60%,Percent,2025-05-14
138,57,Estimated Capacity,DonorSearch,"$230,000",Currency,2025-03-26
